03:18:35 --->   row_id 19 - Actual: General Medicine | Predicted: Cardiovascular / Pulmonary | Cardiovascular / Pulmonary

03:18:37 --->   row_id 1457 - Actual: Sleep Medicine | Predicted: General Medicine | 'General Medicine'

03:18:40 --->   row_id 1459 - Actual: Sleep Medicine | Predicted: General Medicine | General Medicine

03:18:55 --->   row_id 1469 - Actual: Sleep Medicine | Predicted: General Medicine | General Medicine

03:18:56 --->   row_id 1470 - Actual: Sleep Medicine | Predicted: General Medicine | General Medicine

03:18:57 --->   row_id 1471 - Actual: Sleep Medicine | Predicted: General Medicine | General Medicine

03:18:59 --->   row_id 1472 - Actual: Sleep Medicine | Predicted: General Medicine | 'General Medicine'

03:19:00 --->   row_id 1473 - Actual: Sleep Medicine | Predicted: Cardiovascular / Pulmonary | Cardiovascular / Pulmonary

03:19:24 --->   row_id 2979 - Actual: Nephrology | Predicted: Cardiovascular / Pulmonary | Cardiovascular / Pulmonary

03:19:52 --->   row_id 3001 - Actual: Nephrology | Predicted: none | 'Hematology - Oncology'

03:20:05 --->   row_id 3011 - Actual: Nephrology | Predicted: General Medicine | General Medicine

03:20:10 --->   row_id 3014 - Actual: Nephrology | Predicted: Cardiovascular / Pulmonary | Cardiovascular / Pulmonary

03:20:18 --->   row_id 3020 - Actual: Nephrology | Predicted: none | Hematology - Oncology

03:20:21 --->   row_id 3022 - Actual: Nephrology | Predicted: none | 'Hematology - Oncology'

03:20:27 --->   row_id 3026 - Actual: Nephrology | Predicted: Gastroenterology | Gastroenterology

03:20:29 --->   row_id 3027 - Actual: Nephrology | Predicted: Gastroenterology | Gastroenterology

03:20:35 --->   row_id 3031 - Actual: Nephrology | Predicted: Gastroenterology | 'Gastroenterology'

03:20:39 --->   row_id 3034 - Actual: Nephrology | Predicted: General Medicine | General Medicine

03:20:41 --->   row_id 3035 - Actual: Nephrology | Predicted: General Medicine | General Medicine

03:20:42 --->   row_id 3036 - Actual: Nephrology | Predicted: General Medicine | General Medicine

03:20:43 --->   row_id 3037 - Actual: Nephrology | Predicted: Cardiovascular / Pulmonary | Cardiovascular / Pulmonary

03:20:45 --->   row_id 3038 - Actual: Nephrology | Predicted: Gastroenterology | 'Gastroenterology'

03:20:46 --->   row_id 3039 - Actual: Nephrology | Predicted: Gastroenterology | Gastroenterology

03:20:48 --->   row_id 3040 - Actual: Nephrology | Predicted: Gastroenterology | Gastroenterology

03:20:49 --->   row_id 3041 - Actual: Nephrology | Predicted: Cardiovascular / Pulmonary | Cardiovascular / Pulmonary

03:20:52 --->   row_id 3043 - Actual: Nephrology | Predicted: Endocrinology | Endocrinology

03:20:53 --->   row_id 3044 - Actual: Nephrology | Predicted: General Medicine | General Medicine

03:21:03 --->   row_id 3050 - Actual: Nephrology | Predicted: none | none

03:21:06 --->   row_id 3051 - Actual: Nephrology | Predicted: none | none

03:21:07 --->   row_id 3052 - Actual: Nephrology | Predicted: none | 'Hematology - Oncology'

03:21:12 --->   row_id 3055 - Actual: Nephrology | Predicted: Cardiovascular / Pulmonary | 'Cardiovascular / Pulmonary'

03:21:14 --->   row_id 3056 - Actual: Nephrology | Predicted: none | none

03:21:17 --->   row_id 3110 - Actual: Hematology - Oncology | Predicted: Endocrinology | Endocrinology

03:21:19 --->   row_id 3112 - Actual: Hematology - Oncology | Predicted: none | Hematology - Oncology

03:21:20 --->   row_id 3113 - Actual: Hematology - Oncology | Predicted: none | 'Hematology - Oncology'

03:21:21 --->   row_id 3114 - Actual: Hematology - Oncology | Predicted: none | Hematology - Oncology

03:21:23 --->   row_id 3115 - Actual: Hematology - Oncology | Predicted: none | Hematology - Oncology

03:21:24 --->   row_id 3116 - Actual: Hematology - Oncology | Predicted: none | 'Hematology - Oncology'

03:21:25 --->   row_id 3117 - Actual: Hematology - Oncology | Predicted: none | 'Hematology - Oncology'

03:21:26 --->   row_id 3118 - Actual: Hematology - Oncology | Predicted: none | 'Hematology - Oncology'

03:21:28 --->   row_id 3119 - Actual: Hematology - Oncology | Predicted: none | Hematology - Oncology

03:21:29 --->   row_id 3120 - Actual: Hematology - Oncology | Predicted: none | 'Hematology - Oncology'

03:21:31 --->   row_id 3121 - Actual: Hematology - Oncology | Predicted: none | 'Hematology - Oncology'

03:21:32 --->   row_id 3122 - Actual: Hematology - Oncology | Predicted: none | 'Hematology - Oncology'

03:21:34 --->   row_id 3123 - Actual: Hematology - Oncology | Predicted: none | Hematology - Oncology

03:21:35 --->   row_id 3124 - Actual: Hematology - Oncology | Predicted: none | 'Hematology - Oncology'

03:21:36 --->   row_id 3125 - Actual: Hematology - Oncology | Predicted: Nephrology | 'Nephrology'

03:21:38 --->   row_id 3126 - Actual: Hematology - Oncology | Predicted: Endocrinology | Endocrinology

03:21:39 --->   row_id 3127 - Actual: Hematology - Oncology | Predicted: none | Hematology - Oncology

03:21:41 --->   row_id 3128 - Actual: Hematology - Oncology | Predicted: none | Hematology - Oncology

03:21:42 --->   row_id 3129 - Actual: Hematology - Oncology | Predicted: none | 'Hematology - Oncology'

03:21:43 --->   row_id 3130 - Actual: Hematology - Oncology | Predicted: General Medicine | General Medicine

03:21:44 --->   row_id 3131 - Actual: Hematology - Oncology | Predicted: none | Hematology - Oncology

03:21:46 --->   row_id 3132 - Actual: Hematology - Oncology | Predicted: none | 'Hematology - Oncology'

03:21:47 --->   row_id 3133 - Actual: Hematology - Oncology | Predicted: none | Hematology - Oncology

03:21:48 --->   row_id 3134 - Actual: Hematology - Oncology | Predicted: Endocrinology | 'Endocrinology'

03:21:50 --->   row_id 3135 - Actual: Hematology - Oncology | Predicted: none | Hematology - Oncology

